5,2018-09-11 04:00:00+00,Kelvin,123724,Axle Logistics,UT Logistics Agfa,Agfa c/o Kane Warehousing,"Aurora, IL","Taylor, PA","800 Bilter Rd, Aurora, IL 60502","22 Stauffer Industrial Park, Taylor, PA 18517",2050,737,72,809,2.53,431,445,205,0,0,0,0,0,0,0,0,1081,969,Packaging Materials,20000,Van or Reefer,/home/toshiba/Fullstack/Test/transmax/server/app/db/brokerConfirmations/090718_transportationOne.pdf,2018-11-04 15:47:12.798+00,2018-11-04 15:48:04.774+00,5,1,119
4,2018-09-10 04:00:00+00,Kelvin,AMLO260554LN,Amstan Logistics,Heritage Bag Company,Uline,"Fairfield, OH","Pleasant Prairie, WI","4255 Thunderbird Lane, Fairfield, OH 45014","13305 104th St, Pleasant Prairie, WI 53158",750,357,5,362,2.07,193,199,75,0,0,0,0,0,0,0,0,467,283,NA,30687,53V/R,/home/toshiba/Fullstack/Test/transmax/server/app/db/brokerConfirmations/090718_transportationOne.pdf,2018-11-04 15:47:12.797+00,2018-11-04 15:48:05.597+00,4,1,119
3,2018-09-07 04:00:00+00,Kelvin,99810,Transportation One,Westminster-satellite warehouse,Reinhard foodservice,"Rutland, VT","Cincinnati, OH","92 Park Street, Rutland, VT 05701","535 Shepherd Ave, Cincinnati, OH 45215",1200,842,105,947,1.27,505,521,120,0,0,0,0,0,0,0,0,1146,54,Crackers FSC,12680,53V,/home/toshiba/Fullstack/Test/transmax/server/app/db/brokerConfirmations/090718_transportationOne.pdf,2018-11-04 15:47:12.796+00,2018-11-04 15:48:07.479+00,3,1,119
1,2018-08-31 04:00:00+00,Kelvin,277377,Transplace,"Columbus Warehouse & Cartage, Inc",Kroger,"Columbus, IN 47203","Louisville, KY 40223","4411 N Long Rd, Columbus, IN 47203","2000 Nelson Miller Pkwy, Louisville, KY 40223",600,85,207,292,2.05,156,161,60,0,0,0,0,0,0,0,0,376,224,NA,38738,Dry Van,/home/toshiba/Fullstack/Test/transmax/server/app/db/brokerConfirmations/083118_Transplace.pdf,2018-11-04 15:47:12.794+00,2018-11-04 15:48:11.223+00,1,1,119
19,2018-10-19 04:00:00+00,Tim,7973,"C.W. Brokerage, Inc",Sigma,Markwell,"Shelbyville, KY 40065 ","Miami Gardens, FL 33014","901 Commerce Circle, Shelbyville, KY 40065","16250 NW 52nd Avenue, Miami Gardens, FL 33014",2700,1084,86,1170,2.31,535,644,270,0,0,0,0,0,0,0,0,1448,1252,0,40000,Dry Van,/home/toshiba/Fullstack/Test/transmax/server/app/db/brokerConfirmations/090518_reliableSourceLogistics.pdf,2018-11-04 15:47:12.807+00,2018-11-22 01:34:31.958+00,18,3,119
17,2018-10-15 04:00:00+00,Tim,LD3207515,Dupre Logistics,Forever Collectibles,Fanatics,"Arlington, TX 76011","Frazeysburg, OH 43822","2007 Exchange Dr, Arlington, TX 76011","11630 Old Riley Rd, Frazeysburg, OH 43822",1500,1128,22,1150,1.3,613,633,150,0,0,0,0,0,0,0,0,1396,104,General Commodities,16600,Dry Van,/home/toshiba/Fullstack/Test/transmax/server/app/db/brokerConfirmations/090518_reliableSourceLogistics.pdf,2018-11-04 15:47:12.806+00,2018-11-04 15:47:38.494+00,16,3,119
8,2018-09-19 04:00:00+00,Kelvin,198170,"Time Definite Services, Inc.",Samuel Adams,Hendricks Beverage,"Cincinnati, OH","Manitowoc, WI","1625 Central Pkwy Cincinnati, OH 45214","4402 Custer St, Manitowoc, WI 54220",940,468,12,480,1.96,256,264,94,0,0,0,0,0,0,0,0,614,326,NA,29673,Dry Van,/home/toshiba/Fullstack/Test/transmax/server/app/db/brokerConfirmations/090518_reliableSourceLogistics.pdf,2018-11-04 15:47:12.799+00,2018-11-04 15:47:56.915+00,8,1,119
2,2018-09-05 04:00:00+00,Kelvin,12104,Reliable Source Logistics,Red Gold,WIC/CSFP,"Orestes, IN","Concord, NH","120 W Oak St, Orestes, IN 46063","Concord, NH 03301",2700,970,136,1106,2.44,590,608,270,0,0,0,0,0,0,0,0,1468,1232,Canned Foods,42120,Van or Reefer,/home/toshiba/Fullstack/Test/transmax/server/app/db/brokerConfirmations/090518_reliableSourceLogistics.pdf,2018-11-04 15:47:12.795+00,2018-11-04 15:48:09.309+00,2,1,119
13,2018-10-02 04:00:00+00,Kelvin,5416902,Trinity Logistics,Brunner Manufacturing,Meritor,"Medina, NY","Florence, KY","3959 Bates Rd, Medina, NY 14103","7975 Dixie Highway, Florence, KY 41042",925,487,330,817,1.13,436,449,93,0,0,0,25,0,0,0,0,978,-53,Palletized parts,43200,Dry Van,/home/toshiba/Fullstack/Test/transmax/server/app/db/brokerConfirmations/090518_reliableSourceLogistics.pdf,2018-11-04 15:47:12.802+00,2018-11-04 15:51:03.885+00,13,1,119
20,2018-11-23 05:00:00+00,Kensie,5239674,Direct Connect Logistix,Baker &amp; Taylor Books,Random House,"Commerce, GA 30599","Crawfordsville, IN 47933&nbsp;","251 Mt Olive Church Rd, Commerce, GA 30599","1019 N State Rd 47, Crawfordsville, IN 47933",800,581,156,737,1.09,384,405,80,0,0,0,0,0,0,0,0,870,-70,Books on Pallets,22740,Dry Van,0,2018-11-30 16:29:27.41+00,2018-11-30 16:29:27.41+00,19,4,119
